"annee","age","nee.france","cp.naissance","sexe","nb.freres.soeurs","taille","pointure","couleur.yeux","couleur.yeux.mere","couleur.derniere.voiture","last.departement","visite","football","rugby","bac","mention","csp","moy.math","bac.math","bac.eps"
2010,18,"Oui",31400,"Féminin",2,175,39,"Marron","Bleu","Gris",31,,"Un peu","Un peu","S","P","Profession intermédiaire",12,12,14
2010,18,"Oui",66000,"Féminin",0,170,38,"Bleu","Marron","Vert",66,"La Corse","Un peu","Pas du tout","ES","P","Autres",14,15,11
2010,19,"Oui",31100,"Féminin",4,174,40,"Marron","Bleu","Bleu foncé",31,,"Beaucoup","Un peu","ES","P","Ouvrier",12,10,13
2010,18,"Oui",,"Masculin",2,175,42,"Marron","Marron","Bleu",95,"Londres","Beaucoup","Un peu","S","P","Autres",7,12,16
2010,19,"Oui",11000,"Masculin",2,182,45,"Bleu","Marron","Gris",31,"Central Park","Un peu","Un peu","S","P","Retraité",12.5,7,11
2010,18,"Oui",81500,"Masculin",1,180,44,"Marron","Marron","Vert",31,"Afrique","Beaucoup","Beaucoup","S","P","Autres",13,12,14
2010,18,"Oui",34000,"Féminin",1,160,38,"Bleu","Vert","Blanc",34,,"Un peu","Un peu","ES","AB","Employé",13.5,15,14
2010,17,"Oui",31700,"Masculin",1,180,42,"Marron","Marron","Gris",31,"Guadeloupe","Beaucoup","Beaucoup","S","AB","Cadre, profession intellectuelle supérieure",12,15,18
2010,21,"Oui",80000,"Féminin",1,174,40,"Vert","Vert","Bleu",,,"Pas du tout","Pas du tout","S","B","Employé",12,,
2010,26,"Oui",33000,"Masculin",4,190,44,"Marron","Marron","Blanc",33,,"Pas du tout","Pas du tout","S","P","Autres",13,14,11
2010,23,"Oui",88000,"Féminin",1,166,39,"Vert","Marron","Blanc",34,"Mexique","Pas du tout","Pas du tout","ES","P","Artisan, commerçant, profession libérale",10,9,14
2013,21,"Non",,"Masculin",1,178,,,,"Blanc",,,"Un peu","Un peu","S","P","Artisan, commerçant, profession libérale",9,9,
2013,17,"Oui",34500,"Féminin",3,164,39,"Marron","Marron","Gris",34,"Bayonne","Pas du tout","Beaucoup","ES","P","Artisan, commerçant, profession libérale",8,13,14
2013,18,"Oui",66000,"Féminin",2,162,38,"Marron","Marron","Gris",66,"Corse","Pas du tout","Un peu","S","P","Employé",8,13,11
2013,18,"Oui",11100,"Masculin",1,172,42,"Marron","Marron","Marron",34,"Camp Nou","Un peu","Un peu","Autre","P","Autres",,,15
2013,18,"Non",,"Masculin",2,,46,"Marron","Marron","Noir",,,"Beaucoup","Pas du tout","S","P","Autres",9,12,16
2013,18,"Oui",91080,"Masculin",0,,43,"Marron","Marron","Noir",82,"Canada","Pas du tout","Pas du tout","S","AB",,,15,
2013,18,"Oui","09000","Masculin",1,175,42,"Marron","Marron","Gris","09","Machu Pitchu (Pérou)","Beaucoup","Beaucoup","Autre","P","Ouvrier",19,18,15
2013,20,"Oui","09000","Masculin",2,176,40,"Vert","Vert","Vert","09","Rio","Un peu","Un peu","Autre","P","Employé",18,17,12
2013,17,"Oui",11000,"Masculin",1,175,43,"Bleu","Bleu","Bleu",66,"New York","Beaucoup","Un peu","S","AB","Employé",14,12,13
2013,18,"Oui",11000,"Masculin",0,160,41,"Marron","Marron","Noir",,"Londres","Un peu","Un peu","S","AB","Artisan, commerçant, profession libérale",,13,13
2013,18,"Oui",31000,"Féminin",1,157,39,"Marron","Marron","Gris",31,"Espagne","Un peu","Un peu","ES","P","Cadre, profession intellectuelle supérieure",13,18,16
2013,21,"Oui",75000,"Féminin",1,170,38,"Marron","Marron","Bleu",34,"Australie","Un peu","Pas du tout","ES","P","Cadre, profession intellectuelle supérieure",14,16,14
2013,20,"Oui",,"Masculin",1,,41,"Marron","Marron","Noir",,,"Pas du tout","Un peu","STI","P","Artisan, commerçant, profession libérale",,,
2013,17,"Oui",,"Féminin",3,157,38,"Vert","Bleu","Gris",85,"Japon","Pas du tout","Pas du tout","S","P","Employé",12,11,16
2013,18,"Oui",66000,"Masculin",1,176,43,"Marron","Marron","Gris",66,"Tour Eiffel","Beaucoup","Beaucoup","S","P",,13,13,11.5
2013,18,"Oui",,"Masculin",2,185,42,"Bleu","Bleu","Gris",31,"Norvège","Pas du tout","Pas du tout","S","AB","Artisan, commerçant, profession libérale",15,15,10
2013,19,"Non",,"Masculin",2,186,49,"Marron","Marron","Or",46,"Barcelone","Un peu","Beaucoup","ES","P","Retraité",10,16,13
2013,18,"Oui",34500,"Masculin",1,182,45,"Bleu","Vert","Gris",34,"New York","Beaucoup","Un peu","ES","P","Cadre, profession intellectuelle supérieure",15,10,15
2013,22,"Oui",75018,"Masculin",2,180,44,,"Marron","Rouge",93,"Amérique du Nord","Pas du tout","Pas du tout","S","P","Cadre, profession intellectuelle supérieure",7,10,12
